epcoh,loss,binary_accuracy,val_loss,val_binary_accuracy
1,2.0794,0.8750,2.0690,0.8750
2,2.0691,0.8750,2.0555,0.8750
3,2.0557,0.8750,2.0309,0.8750
4,2.0304,0.8750,1.9803,0.8750
5,1.9811,0.8750,2.4564,0.8141
6,2.4273,0.8137,1.9840,0.8750
7,1.9828,0.8750,1.9757,0.8750
8,1.9759,0.8750,1.9964,0.8750
9,1.9941,0.8750,2.0048,0.8750
10,2.0018,0.8750,2.0072,0.8750
11,2.0039,0.8750,2.0063,0.8750
12,2.0016,0.8750,2.0034,0.8750
13,1.9977,0.8750,1.9989,0.8750
14,1.9916,0.8750,1.9931,0.8750
15,1.9854,0.8750,1.9861,0.8750
16,1.9771,0.8750,1.9780,0.8750
17,1.9674,0.8750,1.9686,0.8750
18,1.9565,0.8750,1.9579,0.8750
19,1.9447,0.8750,1.9456,0.8750
20,1.9309,0.8750,1.9316,0.8750
21,1.9141,0.8750,1.9156,0.8750
22,1.8969,0.8750,1.8971,0.8750
23,1.8764,0.8750,1.8761,0.8750
24,1.8530,0.8750,1.8528,0.8750
25,1.8265,0.8750,1.8300,0.8750
26,1.7983,0.8750,1.8170,0.8750
27,1.7858,0.8750,1.8031,0.8750
28,1.7687,0.8750,1.7711,0.8750
29,1.7352,0.8750,1.7412,0.8750
30,1.7030,0.8750,1.7169,0.8750
31,1.6768,0.8751,1.6922,0.8755
32,1.6479,0.8757,1.6636,0.8761
33,1.6152,0.8779,1.6294,0.8808
34,1.5735,0.8828,1.5895,0.8845
35,1.5296,0.8889,1.5461,0.8902
36,1.4751,0.8918,1.5045,0.8918
37,1.4244,0.8934,1.4679,0.8929
38,1.3750,0.8939,1.4226,0.8923
39,1.3127,0.8953,1.3640,0.8913
40,1.2484,0.8967,1.3199,0.8923
41,1.1962,0.8988,1.2839,0.8944
42,1.1450,0.9003,1.2193,0.8944
43,1.0804,0.9000,1.1731,0.8965
44,1.0276,0.9045,1.1464,0.8986
45,0.9699,0.9068,1.1101,0.9018
46,0.9050,0.9151,1.0677,0.9102
47,0.8784,0.9211,1.0319,0.9123
48,0.8301,0.9270,1.0086,0.9144
49,0.7735,0.9338,0.9931,0.9212
50,0.7232,0.9422,0.9398,0.9249
51,0.6805,0.9484,0.8978,0.9259
52,0.6206,0.9549,0.8969,0.9280
53,0.5763,0.9563,0.8549,0.9312
54,0.5360,0.9605,0.8029,0.9359
55,0.4893,0.9634,0.8021,0.9433
56,0.4683,0.9670,0.7779,0.9443
57,0.4244,0.9713,0.7694,0.9464
58,0.3958,0.9724,0.7574,0.9459
59,0.3652,0.9725,0.7553,0.9464
60,0.3305,0.9779,0.7530,0.9480
61,0.3118,0.9771,0.7476,0.9491
62,0.2817,0.9800,0.7305,0.9501
