label,sentence,syntax
PE,The system shall refresh the display every 60 seconds.,system shall refresh display seconds 
LF,The application shall match the color of the schema set forth by Department of Homeland Security,application shall match color of schema set forth by Department of Homeland Security 
US,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,If projected data must be readable On projection screen % of viewers must be able read Event / Activity data from viewing distance of 
A,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,product shall be available during normal business hours As long as user has access client PC system will be available % of time during first months of operation 
US,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,If projected data must be understandable On projection screen % of viewers must be able determine that Events Activities are occuring in current time from viewing distance of 
SE,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,product shall ensure that can only be accessed by authorized users product will be able distinguish between authorized unauthorized users in access attempts 
US,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,product shall be intuitive self-explanatory % of new users shall be able start display of Events Activities within minutes of using product 
PE,The product shall respond fast to keep up-to-date data in the display.,product shall respond fast keep up-to-date data in display 
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,system shall have MDI form allows for viewing of graph data table 
F,The system shall display Events in a vertical table by time.,system shall display Events in vertical table by time 
F,The system shall display the Events in a graph by time.,system shall display Events in graph by time 
F,The system shall display Events or Activities.,system shall display Events Activities 
F,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,display shall have regions left of display is graphical right of display is data table 
F,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,data displayed in nodes within graph rows in table are MSEL Summary data 
F,The table side of the display shall be split into 2 regions: sequential and temporal.,table side of display shall be split into regions sequential temporal 
F,The top 1/4 of the table will hold events that are to occur sequentially.,top of table will hold events are occur sequentially 
F,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,bottom of table will hold events occur according relevance current time 
F,The system shall color code events according to their variance from current time.,system shall color code events according variance from current time 
F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,system shall display data from Sync Matrix Exercise Management Tool applications 
F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,system shall link Events back Sync Matrix Exercise Managment Tool applications for modifications 
F,The system shall allow modification of the display.,system shall allow modification of display 
F,The system shall offer a display of all the Events in the exercise.,system shall offer display of Events in exercise 
F,The system shall filter data by: Venues and Key Events.,system shall filter data by Venues Key Events 
F,The system shall allow a user to define the time segments,system shall allow user define time segments 
F,The system shall display the local and exercise time in separate clocks,system shall display local exercise time in separate clocks 
F,The system shall offer the ability to pause and resume the refresh of data.,system shall offer ability pause resume refresh of data 
F,The system shall provide charts for the Activity or Event actual versus assumed time.,system shall provide charts for Activity Event actual versus assumed time 
F,The system shall provide a history report of changes made to the Activity or Event data,system shall provide history report of changes made Activity Event data 
LF,The look and feel of the system shall conform to the user interface standards of the smart device.,look feel of system shall conform user interface standards of smart device 
